,city,district,address,object_type,land_type,constructed_date,management,building_type,living_room,bed_room,toilet,compartment,balcony,land,building,parking,parking_type,price_sqm,price_parking,price_total,building_area,land_area,parking_area,latitude,longitude
2,臺北市,文山區,忠順街一段10巷9號3樓,房地(土地+建物)+車位,住,1995-07-17,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,128417,0,21000000,97.45,32.19,0.0,24.98344,121.55851
5,臺北市,文山區,萬壽路２５巷９號五樓之１,房地(土地+建物)+車位,住,2019-01-24,True,華廈(10層含以下有電梯),2,3,2,True,True,1,1,1,坡道平面,162966,750000,11100000,42.709999999999994,16.99,16.8,24.98797,121.57587
13,臺北市,萬華區,內江街61號九樓,房地(土地+建物)+車位,商,2017-01-04,True,住宅大樓(11層含以上有電梯),2,4,1,True,True,1,1,2,坡道平面,220925,3500000,51200000,144.89000000000001,17.94,56.14,25.04165,121.50503
14,臺北市,萬華區,萬大路４２３巷３２弄１號六樓,房地(土地+建物)+車位,住,1998-08-24,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,112803,0,18300000,93.14999999999999,36.96,0.0,25.02106,121.50047
16,臺北市,中正區,忠孝東路一段１６２號８樓之１,房地(土地+建物)+車位,商,2019-08-07,True,套房(1房1廳1衛),1,1,1,True,True,1,1,1,塔式車位,340197,2000000,21000000,36.35,5.64,20.73,25.04394,121.52608
19,臺北市,萬華區,成都路１３９號八樓之８,房地(土地+建物)+車位,商,2015-10-01,True,住宅大樓(11層含以上有電梯),2,2,2,True,True,1,1,1,坡道平面,180762,0,28000000,81.79,9.71,31.12,25.04346,121.50342
20,臺北市,內湖區,成功路五段450巷22弄20號14樓,房地(土地+建物)+車位,住,1998-09-25,True,住宅大樓(11層含以上有電梯),2,2,1,True,True,1,1,1,坡道機械,174691,0,16800000,57.69,15.95,19.0,25.07505,121.60775
23,臺北市,內湖區,瑞光路132巷69弄11號2樓,房地(土地+建物)+車位,住,1997-10-28,True,華廈(10層含以下有電梯),2,3,2,True,True,1,1,1,坡道平面,181029,0,31680000,107.78,72.94,0.0,25.07141,121.57893
24,臺北市,中山區,敬業三路162巷35號六樓,房地(土地+建物)+車位,住,2000-06-28,True,住宅大樓(11層含以上有電梯),2,2,2,True,True,1,1,1,坡道平面,160813,0,25000000,85.72,47.09,0.0,25.07881,121.55741
27,臺北市,中山區,中山北路ㄧ段105巷12號3樓之5,房地(土地+建物)+車位,商,2017-01-10,True,華廈(10層含以下有電梯),0,0,0,False,True,1,1,1,升降平面,247448,1000000,29600000,75.94999999999999,15.71,42.73,25.05047,121.52383
28,臺北市,內湖區,康寧路三段１６５巷３１號,房地(土地+建物)+車位,住,1986-02-03,False,公寓(5樓含以下無電梯),2,3,1,True,False,1,1,1,一樓平面,82476,0,8500000,92.51,27.54,0.0,25.07181,121.61245
30,臺北市,內湖區,康寧路三段７０巷３０號,房地(土地+建物)+車位,住,2008-09-03,True,華廈(10層含以下有電梯),2,2,1,True,True,3,1,2,坡道機械,216078,0,23680000,55.66,17.77,32.86,25.06944,121.61065
32,臺北市,中山區,建國北路一段５５號五樓之３,房地(土地+建物)+車位,住,2007-11-07,True,住宅大樓(11層含以上有電梯),1,1,1,True,True,1,1,1,升降機械,167979,0,9600000,27.729999999999997,6.12,13.27,25.05038,121.53713
38,臺北市,信義區,松勤街9號5樓之8,房地(土地+建物)+車位,其他,2007-12-25,True,套房(1房1廳1衛),1,1,1,True,True,1,1,1,坡道機械,371758,0,25800000,34.769999999999996,6.69,17.45,25.03219,121.56104
42,臺北市,信義區,忠孝東路五段７４３巷３１弄２３號十六樓,房地(土地+建物)+車位,住,2018-08-24,True,住宅大樓(11層含以上有電梯),1,2,1,True,True,1,1,1,坡道平面,310928,2700000,26800000,50.51,11.98,33.86,25.04389,121.58139
43,臺北市,松山區,饒河街１９９號十二樓之１,房地(土地+建物)+車位,商,2018-10-03,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道機械,234374,1700000,34660000,98.88000000000001,10.42,14.46,25.05075,121.57618
44,臺北市,松山區,饒河街１９９號十五樓之２,房地(土地+建物)+車位,商,2018-10-03,True,住宅大樓(11層含以上有電梯),2,2,1,True,True,1,1,1,坡道平面,250671,2700000,27900000,62.14,6.97,37.72,25.05075,121.57618
47,臺北市,北投區,知行路293巷16號2樓之1,房地(土地+建物)+車位,住,2009-07-17,True,住宅大樓(11層含以上有電梯),2,2,1,True,True,1,1,1,坡道平面,104535,0,13000000,48.92,17.59,47.42,25.12215,121.4665
65,臺北市,萬華區,中華路二段364巷7號8樓之2,房地(土地+建物)+車位,住,2013-07-02,True,住宅大樓(11層含以上有電梯),2,4,2,True,True,1,1,1,坡道平面,62896,0,13000000,128.05,53.48,0.0,25.02834,121.5042
66,臺北市,中山區,敬業三路162巷77號七樓,房地(土地+建物)+車位,住,2000-06-28,False,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,155213,0,24100000,85.53,47.09,0.0,25.07882,121.55872
67,臺北市,內湖區,民權東路六段１２３巷３４弄２８號６樓,房地(土地+建物)+車位,商,2015-07-24,True,住宅大樓(11層含以上有電梯),2,2,2,True,True,1,1,1,坡道平面,190192,2500000,38800000,132.53,20.98,33.24,25.07029,121.59183
68,臺北市,內湖區,大湖山莊街１７６巷１８號２樓之３,房地(土地+建物)+車位,住,2008-11-27,True,住宅大樓(11層含以上有電梯),2,2,1,True,True,1,1,1,坡道平面,193058,2500000,20800000,63.71,22.28,24.09,25.08777,121.59912
70,臺北市,松山區,寶清街１０３之１１號８樓,房地(土地+建物)+車位,住,2017-11-24,True,住宅大樓(11層含以上有電梯),2,2,2,True,True,1,1,1,坡道平面,236122,3000000,27500000,68.7,17.48,29.17,25.04989,121.56903
81,臺北市,中山區,長安東路二段１６２之１號２樓,房地(土地+建物)+車位,商,2001-03-26,True,套房(1房1廳1衛),1,1,1,True,True,1,1,1,塔式車位,211144,1500000,17280000,47.730000000000004,6.37,0.0,25.04823,121.53935
86,臺北市,文山區,政大三街４７號５樓,房地(土地+建物)+車位,住,2009-07-09,True,華廈(10層含以下有電梯),2,3,2,True,True,1,1,1,坡道平面,159689,2000000,34000000,143.5,86.54,35.87,24.98615,121.5825
88,臺北市,文山區,景華街１５０巷１之１號６樓,房地(土地+建物)+車位,住,2007-09-13,True,華廈(10層含以下有電梯),2,2,1,True,True,1,1,1,升降機械,162338,1500000,18000000,62.83,20.48,7.66,24.99631,121.54782
89,臺北市,文山區,和興路２６巷１１弄１８之１號３樓,房地(土地+建物)+車位,住,1990-02-13,False,華廈(10層含以下有電梯),2,3,2,True,True,1,1,1,坡道平面,127107,1950000,20350000,168.57,52.75,34.31,24.98464,121.54577
93,臺北市,大安區,永康街３７巷１０號２樓,房地(土地+建物)+車位,住,2012-10-25,True,華廈(10層含以下有電梯),1,2,1,True,True,1,1,1,其他,320521,0,25100000,40.26,15.81,0.0,25.0307,121.52986
98,臺北市,士林區,福華路２號,房地(土地+建物)+車位,住,2018-07-09,True,華廈(10層含以下有電梯),2,3,2,True,False,1,1,1,升降平面,260116,2000000,29000000,73.15,16.07,37.8,25.10019,121.52369
100,臺北市,士林區,小北街２８號八樓之１,房地(土地+建物)+車位,商,2019-02-12,True,套房(1房1廳1衛),1,1,1,True,False,1,1,1,升降機械,275823,1900000,16400000,32.18,13.11,8.48,25.09085,121.52529
103,臺北市,北投區,中央北路四段５１５巷４８號三樓,房地(土地+建物)+車位,其他,2013-11-29,True,其他,0,0,0,False,True,1,1,1,坡道平面,122764,2150000,15120000,71.71,26.7,27.52,25.13469,121.47734
104,臺北市,士林區,中山北路六段195巷8號13樓之3,房地(土地+建物)+車位,住,2008-05-06,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,248077,0,44500000,92.03,31.88,0.0,25.10786,121.5244
111,臺北市,南港區,經貿二路１５７巷３６弄１１０號十六樓,房地(土地+建物)+車位,住,2014-03-06,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,206698,0,59500000,172.42,47.47,45.17,25.06243,121.61383
113,臺北市,南港區,重陽路１２５巷３６弄３０號２樓之８、２樓之９,房地(土地+建物)+車位,住,2008-01-22,True,華廈(10層含以下有電梯),2,2,2,True,True,1,1,2,坡道機械,123060,0,18400000,83.53,30.25,0.0,25.05732,121.59661
