id,name,god_0,god_1,god_2,city,addr,religion,reg_type,tel,principal,others,longitude,latitude
1746813,法蓮廟,普庵祖師,,,新竹市,新竹市北區福林里3鄰東大路二段375巷9號,佛教,正式登記,03-5315686,劉醇富,,120.961799621582,24.8188209533691
1746839,天成宮,明明上帝,,,新竹市,新竹市北區磐石里6鄰西大路643巷20號,一貫道,正式登記,03-5219409,陳薇郎,,120.957901000977,24.8096008300781
1746867,新興福德祠,福德正神,,,新竹市,新竹市北區舊社里4鄰鐵道路二段166巷47號,道教,正式登記,03-5310216,鄭正義,,120.972999572754,24.8212203979492
1746872,威德廟,三府王爺,,,基隆市,基隆市暖暖區八堵里第9鄰源遠路28巷16號,道教,正式登記,02-24573823,鄭怡信,,121.736602783203,25.1031398773193
1746884,台北協天宮,關聖帝君,,,臺北市,臺北市大同區斯文里大龍街89-1號,道教,補辦登記,02-25923987,黃志成,,121.516098022461,25.0671501159668
1746921,新竹市明福宮,玄天上帝,,,新竹市,新竹市北區竹光路124巷27-3號,道教,補辦登記,03-5439996,彭來成,,120.958801269531,24.8129997253418
1746947,萬士爺廟,有應公,,,新竹市,新竹市北區東大路三段377巷20號旁,道教,補辦登記,-0920111593,林再興,,120.942398071289,24.8362293243408
1746948,佑聖宮,玄天上帝,,,新竹市,新竹市北區康樂里公道五路5段195號,道教,正式登記,-0920111593,林再興,,120.944702148438,24.836540222168
1746976,民富福德宮,福德正神,,,新竹市,新竹市北區民富里5鄰延平路一段138巷52-1號,道教,補辦登記,03-5212079,王清明,,120.958198547363,24.8059406280518
1747001,長和宮,天上聖母,,,新竹市,新竹市北區長和里1鄰北門街135號,道教,正式登記,03-5267510,楊金土,,120.96369934082,24.8106899261475
1747002,代天府,五府千歲,,,新竹市,新竹市北區海濱里1鄰西濱路一段355號,道教,正式登記,03-5361597,彭德林,,120.930297851563,24.83909034729
1747003,北極殿,玄天上帝,,,新竹市,新竹市北區西雅里3鄰中山路344巷14-1號,道教,正式登記,03-5213574,張清樑,,120.959297180176,24.8016204833984
1747006,地藏庵,地藏王菩薩,,,基隆市,基隆市暖暖區八堵路1巷67之1號,佛教,補辦登記,02-24575840,蔡春香,,121.738700866699,25.1107501983643
1747055,新竹天凰宮,普庵祖師,,,新竹市,新竹市北區成功路192巷211-3號,佛教,補辦登記,03-5382353,鄭潮欽,,120.943901062012,24.8118896484375
1747080,境福宮,境主尊神,,,新竹市,新竹市北區士林里8鄰境福街197號,道教,正式登記,03-5315620,郭宗源,,120.959197998047,24.8202590942383
1747085,福德宮,福德正神,,,基隆市,基隆市暖暖區水源路36巷37之1號,道教,補辦登記,02-24573373,陳義隆,,121.733901977539,25.0957202911377
1747106,長和里聖媽廟,天上聖母,,,新竹市,新竹市北區長和里9鄰長和街37號,道教,正式登記,03-5232393,黃益國,,120.963302612305,24.8095607757568
1747107,富美宮,三府王爺,,,新竹市,新竹市北區南寮里5鄰東大路三段708巷6號,道教,正式登記,03-5363075,彭天祥,,120.937599182129,24.8409099578857
1747108,福林堂,普庵祖師,,,新竹市,新竹市北區福林里5鄰境福街216號,佛教,正式登記,03-5319382,許淑嬰,,120.959503173828,24.8206100463867
1747109,爵靈寺,普庵祖師,,,新竹市,新竹市北區舊社里10鄰湳雅街222號,佛教,正式登記,03-5317704,蘇景松,,120.975997924805,24.8221397399902
1747134,證善堂,釋迦牟尼佛,,,新竹市,新竹市北區興南里8鄰興南街25巷2弄4號,佛教,正式登記,03-5267929,周瑞淋,,120.963401794434,24.8009395599365
1747162,王先生廟,王先生,,,新竹市,新竹市北區古賢里3鄰東大路三段110巷15號,道教,補辦登記,03-5319866,李正明,,120.95580291748,24.831184387207
1747190,天公壇,玉皇大帝,,,新竹市,新竹市北區育英里6鄰中山路431巷36號,道教,正式登記,03-5228651,陳顯榮,,120.958602905273,24.7996997833252
1747191,長和福地福德宮,福德正神,,,新竹市,新竹市北區湳雅里28鄰湳雅街147巷51號,道教,正式登記,03-5228173,吳榮輝,,120.971702575684,24.8198890686035
1747196,暖暖聖道院,明明上帝,,,基隆市,基隆市暖暖區興隆街14之3號,一貫道,補辦登記,02-24579386,周猶龍,,121.749702453613,25.1061592102051
1747213,東連宮,玄天上帝,,,新竹市,新竹市北區成功路192巷191弄22號之1,道教,補辦登記,03-5258055,吳春吉,,120.947402954102,24.8116798400879
1747285,大橋頭福德廟,福德正神,,,臺北市,臺北市大同區迪化街二段22號,道教,正式登記,02-25529255,劉丁柱,,121.509498596191,25.0638809204102
1747456,香光山寺,釋迦牟尼佛,,,桃園市,桃園市大溪區福安里11鄰頭寮路276巷75之1號,佛教,正式登記,03-3873141,陳夏珠,,121.276496887207,24.8358192443848
1747457,妙法寺,釋迦牟尼佛,,,桃園市,桃園市大溪區永福里4鄰信義路649號,佛教,正式登記,03-3883152,周永林,,121.30827331543,24.8944644927979
1747461,宏明寺,釋迦牟尼佛,,,桃園市,桃園市中壢區中央里長江路11鄰93號,佛教,正式登記,03-4253849,郭文雄,,121.227958679199,24.9564647674561
1747464,三聖宮,保儀尊王,,,新北市,新北市平溪區靜安路二段274巷6號,道教,補辦登記,02-24951242,楊明仁,,121.728698730469,25.0225200653076
1747465,成安宮,"天上聖母,保儀大夫,三代祖師",,,新北市,新北市平溪區十分里十分街189號,道教,補辦登記,02-24958600,胡民樹,,121.777801513672,25.0442409515381
1747498,法主公廟,法主聖君,,,臺北市,臺北市大同區朝陽里南京西路344巷2號,道教,正式登記,02-25562964,陳麗玉,,121.509925842285,25.053783416748
1747499,台北慈光廟,朱府王爺,,,臺北市,臺北市內湖區民權東路六段206巷143弄113號,道教,補辦登記,02-27862800,謝添鑄,,121.613998413086,25.0653991699219
1747553,平光寺,釋迦牟尼佛,,,臺北市,臺北市大同區重慶里敦煌路78號,佛教,正式登記,02-25940479,性融,,121.517753601074,25.075662612915
1747559,八仙宮,李鐵拐,,,新北市,新北市三芝區新庄里番社后31之1號,道教,補辦登記,02-26360743,江振裕,,121.49829864502,25.2678298950195
1747560,北星真武寶殿,玄天上帝,,,新北市,新北市三芝區圓山村2坪頂52之3號,道教,補辦登記,02-26363906,黃詠湄,,121.546203613281,25.2216796875
1747564,南山觀音寺,普庵祖師,,,新北市,新北市中和區內南里興南路二段399巷140號之1,佛教,補辦登記,02-29428123,呂錦素,,121.499198913574,24.9738101959229
1747566,中壢興南福德祠,福德正神,,,桃園市,桃園市中壢區興南里12鄰慈惠二街43號,道教,補辦登記,03-4255334,林進財,,121.224029541016,24.9604682922363
1747569,五指山開基祖盤古廟,盤古爺,,,新竹縣,新竹縣北埔鄉外坪村六股8鄰12號,道教,正式登記,03-5803127,曾&#29726;騰,,121.09001159668,24.6420822143555
1747570,王禪老祖鬼谷仙師廟,王禪老祖,,,新竹縣,新竹縣北埔鄉埔尾村王禪老祖路1號,道教,正式登記,03-5805319,劉逢清,,121.044174194336,24.7139759063721
1747637,福德宮,福德正神,,,基隆市,基隆市七堵區華新一路133號,道教,補辦登記,02-24561745,黃錦地,,121.666053771973,25.1015396118164
1747644,龍山巖,普庵祖師,,,新北市,新北市三峽區五寮里五寮路180之1號,佛教,補辦登記,02-26729021,黃賢明,,121.354438781738,24.8715305328369
1747647,台北神德宮,福德正神,,,臺北市,臺北市中山區大佳里濱江街180巷13號,道教,補辦登記,02-25032358,李隆德,,121.54109954834,25.0714893341064
1747648,中嶽殿,地藏王菩薩,,,臺北市,臺北市中山區大佳里民族東路115號,道教,補辦登記,02-25054267,陳順傑,,121.538299560547,25.0683498382568
1747652,僑愛佛教講堂,釋迦牟尼佛,,,桃園市,桃園市大溪區仁善里介壽路238號,佛教,正式登記,03-3801956,許傳齡,,121.29174041748,24.919527053833
1747656,佛教居士林,釋迦牟尼佛,,,基隆市,基隆市仁愛區仁三路3巷2弄10號,佛教,正式登記,02-24243609,陳林程,,121.744903564453,25.1268196105957
1747669,舊社福德祠,福德正神,,,新竹市,新竹市北區舊社里7鄰湳雅街311巷2號,道教,正式登記,03-5338479,戴錦燦,,120.975997924805,24.8229808807373
1747689,中和中興福德宮,福德正神,,,新北市,新北市中和區中興街122之2號,道教,補辦登記,02-22478669,簡德旺,,121.499603271484,24.9931907653809
1747696,三峽龍天宮,瑤池金母,,,新北市,新北市三峽區溪北里17鄰介壽路三段200巷1號,道教,補辦登記,02-26743219,高萬成,,121.403442382813,24.9441261291504
1747697,天福道院,彌勒佛,,,新北市,新北市三峽區添福里添福215之4號,一貫道,補辦登記,02-26711924,王垂禾,,121.380401611328,24.8960609436035
1747698,地藏庵,地藏王菩薩,,,臺北市,臺北市中山區玉門街圓山里11號,佛教,正式登記,02-25977057,劉鄭巧華,,121.520599365234,25.0720500946045
1747699,大忠宮,延平郡王,,,臺北市,臺北市中山區劍潭里中山北路四段71巷2弄5號,佛教,正式登記,02-28856791,游騰泉,,121.526298522949,25.0804901123047
1747704,永福宮,福德正神,,,桃園市,桃園市大溪區19鄰仁和里士香街172號,道教,補辦登記,03-3894020,江如翠,,121.27449798584,24.8971996307373
1747737,福德宮,福德正神,,,基隆市,基隆市七堵區友二里華新二路110號邊,道教,補辦登記,02-24515632,詹春長,,121.663803100586,25.1233406066895
1747740,中和佛安宮,天上聖母,,,新北市,新北市中和區永和路199巷3號,道教,補辦登記,02-22405881,羅一郎,,121.496452331543,25.0065689086914
1747745,新北市三峽靈隱寺,濟公活佛,,,新北市,新北市三峽區竹崙里紫微南路11號,道教,補辦登記,02-26726676,董招賢,,121.425903320313,24.921049118042
1747748,慧日講堂,釋迦牟尼佛,,,臺北市,臺北市中山區朱崙街力行里36號,佛教,正式登記,02-27711417,陳裕焜,,121.541297912598,25.0499000549316
1747752,仁安宮,元帥爺,,,桃園市,桃園市大溪區康安里13鄰安和路1號,道教,正式登記,03-3888500,簡子嚴,,121.281005859375,24.8572998046875
1747753,雲山寺,藥師佛,,,新北市,新北市八里區米倉里牛寮埔8號,佛教,補辦登記,02-26106659,許向益,,121.434097290039,25.1416091918945
1747755,西雲寺,普庵祖師,,,新北市,新北市五股區成州里3鄰西雲路185巷3號,佛教,正式登記,02-22914392,陳坤桐,,121.445907592773,25.0966053009033
1747757,奠濟宮,開漳聖王,,,基隆市,基隆市仁愛區仁三路27之2號,道教,正式登記,02-24289266,謝文賢,,121.74324798584,25.1282234191895
1747758,太乙宮,三山國王,,,基隆市,基隆市仁愛區愛四路2巷30號,道教,補辦登記,02-24280073,張益銓,,121.743103027344,25.1274890899658
1747760,衜竹寺,普庵祖師,,,基隆市,基隆市七堵區華新二路150之2號,佛教,補辦登記,02-24511720,黃詩淵,,121.641441345215,25.1392059326172
1747761,瑪南里福興宮,福德正神,,,基隆市,基隆市七堵區瑪南里大華二路2之1號,道教,補辦登記,02-24561212,張景明,,121.69979095459,25.1008586883545
1747763,明德禪寺,普庵祖師,,,新北市,新北市中和區錦昌里圓通路367巷33弄36號,佛教,補辦登記,02-22466836,許經術,,121.495498657227,24.9848308563232
1747764,紫竹寺,普庵祖師,,,新北市,新北市中和區橫路里興南路3段91巷臨57號,道教,補辦登記,02-29460002,陳仕宏,,121.491600036621,24.9699802398682
1747770,準提寺,釋迦牟尼佛,,,新北市,新北市三峽區嘉添里白雞路100之8號,佛教,補辦登記,02-26743750,周翠娥,,121.393997192383,24.9008598327637
1747776,蓮座山觀音寺,普庵祖師,,,桃園市,桃園市大溪區康安里22鄰瑞安路2段48巷28號,佛教,正式登記,03-3885674,徐嵐輝,,121.281402587891,24.8714694976807
1747780,妙僊山聖慈宮,瑤池金母,,,新北市,新北市五股區民義路二段37號之34,道教,補辦登記,02-22931729,林文錡,,121.413101196289,25.1004390716553
1747785,金碧宮,天上聖母,,,臺北市,臺北市內湖區內湖里金龍路92號,道教,正式登記,02-27900849,賴吉雄,,121.591400146484,25.0852508544922
1747792,瑪陵坑南聖宮,天上聖母,,,基隆市,基隆市七堵區大華二路2之3號,道教,補辦登記,02-24551212,張瓏瀚,,121.699798583984,25.1008605957031
1747793,福德宮,福德正神,,,基隆市,基隆市七堵區瑪東里大同街52之1號邊,道教,補辦登記,02-24564256,李川,,121.693717956543,25.131383895874
