house_id,temple_id,distance
0,1749258,0.164698
1,1749511,0.259032
3,1758301,0.279337
7,1747553,0.216758
7,1747698,0.263915
7,1775013,0.076326
8,1751299,0.262285
8,1753503,0.126895
8,1757461,0.120339
8,1770117,0.216881
9,1746884,0.283761
9,1747957,0.202667
9,1764330,0.212174
10,1751299,0.269953
11,1747498,0.286725
11,1748556,0.074699
11,1748764,0.05678
11,1751291,0.199321
11,1752625,0.187914
11,1761360,0.228672
11,1767276,0.16829
12,1750471,0.292486
12,1753502,0.155778
12,1761437,0.231001
12,1769123,0.246932
12,1769308,0.196899
12,1770857,0.277945
13,1757401,0.145971
14,1764463,0.150395
15,1764463,0.150395
16,1764463,0.150395
17,1750471,0.248352
17,1753502,0.205312
17,1757538,0.276981
17,1761437,0.248958
17,1769308,0.241007
17,1770857,0.228771
18,1750471,0.11556
18,1757538,0.182835
18,1770857,0.204717
23,1759340,0.105046
30,1747957,0.052032
30,1750845,0.182275
30,1764330,0.140905
30,1766184,0.293909
30,1769272,0.242867
31,1747957,0.039115
31,1750845,0.187592
31,1764330,0.12704
31,1766184,0.287883
31,1769272,0.252661
32,1764980,0.177335
32,1767008,0.21396
33,1757484,0.248953
34,1772870,0.292732
36,1762898,0.23439
38,1754617,0.192085
38,1757520,0.210382
39,1748881,0.190154
39,1763429,0.230665
39,1764986,0.170021
39,1765360,0.234769
39,1766421,0.072308
40,1748881,0.190154
40,1763429,0.230665
40,1764986,0.170021
40,1765360,0.234769
40,1766421,0.072308
41,1749872,0.130847
41,1760057,0.289591
42,1750970,0.181266
42,1755401,0.293367
42,1758290,0.266068
43,1748866,0.170307
44,1748866,0.182414
46,1749018,0.128557
46,1750504,0.1049
48,1763593,0.121929
48,1771283,0.125298
49,1750970,0.135519
50,1767010,0.292803
51,1768138,0.283242
52,1769838,0.242224
55,1758138,0.210252
55,1769838,0.241386
56,1752873,0.274648
56,1753726,0.170604
56,1754744,0.050248
57,1749258,0.190768
59,1759340,0.242154
62,1755082,0.141902
62,1764803,0.133508
67,1747895,0.167206
68,1764028,0.115933
71,1747748,0.237864
71,1766175,0.290958
74,1757401,0.084739
75,1747813,0.240594
75,1747862,0.22948
75,1769281,0.162607
78,1752400,0.265287
81,1749582,0.24857
81,1752105,0.187715
81,1758301,0.144578
82,1754572,0.264672
83,1754572,0.15287
86,1754503,0.285482
86,1755401,0.140324
86,1758290,0.198102
87,1758277,0.150488
89,1747895,0.090092
90,1749006,0.272021
90,1758540,0.101976
90,1759971,0.077392
91,1754502,0.198544
93,1748652,0.1227
93,1750398,0.231166
95,1758539,0.124769
96,1755082,0.198739
96,1758020,0.030094
96,1763429,0.231635
96,1764803,0.203857
97,1766327,0.261925
98,1748881,0.086642
98,1763429,0.297713
98,1765360,0.063715
98,1766421,0.157593
99,1765365,0.044723
100,1747499,0.174692
100,1760706,0.140099
106,1754079,0.101451
106,1767008,0.235109
108,1752681,0.299546
109,1747957,0.287139
109,1750845,0.251339
109,1754079,0.139162
109,1769272,0.210434
110,1747957,0.287139
110,1750845,0.251339
110,1754079,0.139162
110,1769272,0.210434
111,1747957,0.287139
111,1750845,0.251339
111,1754079,0.139162
111,1769272,0.210434
112,1750845,0.289207
112,1754079,0.089045
112,1769272,0.235424
113,1747957,0.287139
113,1750845,0.251339
113,1754079,0.139162
113,1769272,0.210434
114,1750471,0.251071
114,1753502,0.180618
114,1757538,0.271261
114,1761437,0.257902
114,1769123,0.287777
114,1769308,0.236998
114,1770857,0.254343
115,1760212,0.069814
115,1770795,0.220389
116,1749670,0.24795
116,1751948,0.1863
116,1755302,0.190872
116,1757104,0.099001
116,1758056,0.118245
116,1770679,0.07453
116,1774812,0.222148
117,1749670,0.24795
117,1751948,0.1863
117,1755302,0.190872
117,1757104,0.099001
117,1758056,0.118245
117,1770679,0.07453
117,1774812,0.222148
120,1769445,0.281708
122,1749582,0.137186
122,1758301,0.212715
123,1749582,0.137186
123,1758301,0.212715
124,1749582,0.137186
124,1758301,0.212715
125,1749582,0.134656
125,1752105,0.298099
125,1758301,0.208838
126,1749582,0.134656
126,1752105,0.298099
126,1758301,0.208838
127,1749582,0.137186
127,1758301,0.212715
128,1749511,0.236502
129,1749511,0.229115
131,1757314,0.1032
131,1769133,0.288613
132,1757314,0.1032
132,1769133,0.288613
134,1749258,0.278896
135,1749582,0.242164
135,1758301,0.280463
137,1748928,0.259289
138,1748928,0.259289
140,1749258,0.071346
140,1752400,0.297444
142,1760212,0.086
142,1770795,0.248123
143,1750471,0.185257
143,1751948,0.282229
143,1755302,0.28304
143,1757538,0.274222
143,1770857,0.209163
144,1752681,0.026399
144,1764858,0.145028
146,1750413,0.299122
146,1751527,0.167116
146,1759916,0.060237
147,1751948,0.288599
147,1761437,0.141933
147,1769308,0.221316
147,1770857,0.163534
149,1752102,0.190509
149,1757988,0.244296
150,1747498,0.264459
150,1748155,0.132273
150,1748975,0.166787
150,1751291,0.288708
150,1752625,0.167174
150,1758117,0.242485
150,1764857,0.108543
152,1758983,0.228975
152,1759341,0.241187
155,1754235,0.285258
155,1764980,0.116876
156,1747863,0.08997
161,1752873,0.259624
162,1760706,0.045306
163,1765365,0.175391
163,1766327,0.269162
164,1764380,0.204729
165,1765365,0.236776
166,1755160,0.160564
166,1760507,0.157458
168,1752575,0.28964
169,1747499,0.291787
171,1762898,0.124868
175,1756318,0.220609
175,1767010,0.04053
176,1750970,0.244741
177,1758180,0.093302
177,1763593,0.295273
183,1750970,0.239354
183,1753947,0.035381
184,1750970,0.240012
184,1753947,0.289194
185,1756318,0.120626
187,1753730,0.215256
188,1752873,0.299912
188,1753726,0.236164
188,1754744,0.243777
189,1758206,0.088962
190,1748928,0.263403
191,1751299,0.144586
191,1753503,0.197958
191,1757461,0.228657
191,1770117,0.152156
192,1758454,0.16417
195,1752681,0.263293
196,1754572,0.256832
197,1753164,0.14376
198,1747895,0.254628
199,1760507,0.054057
200,1752873,0.023202
200,1753726,0.127357
200,1754744,0.256429
201,1758138,0.154486
201,1769838,0.151688
203,1756522,0.214362
204,1760507,0.232483
205,1760570,0.266985
205,1764380,0.168716
207,1754572,0.208754
208,1747499,0.072175
209,1754235,0.28867
209,1764980,0.226368
209,1767008,0.206766
210,1754235,0.28867
210,1764980,0.226368
210,1767008,0.206766
211,1748756,0.181292
211,1757583,0.151861
212,1758983,0.239619
212,1768034,0.116158
213,1758983,0.182631
213,1759341,0.285219
214,1747785,0.233653
214,1752137,0.15496
214,1754420,0.202372
214,1755233,0.203287
216,1747499,0.283652
217,1754079,0.049683
217,1769272,0.273153
218,1753502,0.105478
218,1761437,0.245861
218,1769123,0.09074
218,1769308,0.135287
222,1753311,0.200052
224,1749006,0.25681
224,1754224,0.202487
224,1758540,0.135424
224,1758855,0.29898
224,1759971,0.21938
225,1758180,0.179161
225,1763593,0.220651
225,1771283,0.25712
227,1758103,0.116679
229,1756318,0.123149
229,1767010,0.222469
231,1754502,0.117504
231,1758290,0.172354
233,1764158,0.090627
234,1758089,0.261769
236,1747895,0.244272
238,1757484,0.194571
239,1755082,0.257877
239,1758020,0.299458
239,1764803,0.273377
240,1765365,0.2589
241,1755158,0.236907
241,1756522,0.257304
244,1756018,0.172783
244,1761124,0.127917
247,1747748,0.286608
247,1758896,0.272206
247,1766175,0.228827
254,1764980,0.293143
254,1767008,0.095577
256,1747785,0.288542
256,1752137,0.146312
256,1754420,0.158638
256,1755233,0.170899
258,1754079,0.118459
258,1769272,0.24786
260,1752137,0.192761
260,1754420,0.241898
260,1755233,0.250845
261,1747785,0.26054
262,1760212,0.267556
263,1751948,0.102323
263,1755302,0.186652
263,1757104,0.231159
263,1758056,0.206962
263,1770679,0.275873
263,1770857,0.146198
264,1747553,0.168437
264,1747698,0.222795
264,1747812,0.179264
264,1775013,0.258057
265,1747553,0.069281
265,1753162,0.236023
265,1775012,0.13088
265,1775013,0.195931
266,1747553,0.168437
266,1747698,0.222795
266,1747812,0.179264
266,1775013,0.258057
267,1747553,0.168437
267,1747698,0.222795
267,1747812,0.179264
267,1775013,0.258057
268,1747553,0.168437
268,1747698,0.222795
268,1747812,0.179264
268,1775013,0.258057
269,1747553,0.168437
269,1747698,0.222795
269,1747812,0.179264
269,1775013,0.258057
270,1747553,0.163152
270,1747698,0.232314
270,1747812,0.18133
270,1775013,0.264755
271,1747553,0.204037
271,1747698,0.217095
271,1747812,0.137945
272,1757401,0.212241
273,1752102,0.138523
274,1748155,0.21592
274,1748556,0.283942
274,1748764,0.162746
274,1752625,0.142553
274,1764857,0.227282
274,1772706,0.267117
275,1750471,0.258041
275,1753502,0.116529
275,1757538,0.248866
275,1769123,0.262351
275,1769308,0.2627
276,1753502,0.213404
276,1761437,0.118417
276,1769123,0.208328
276,1769308,0.088119
276,1770857,0.299842
277,1751299,0.135908
277,1755303,0.18333
277,1757148,0.240273
277,1770117,0.296006
278,1750356,0.282137
278,1750413,0.117997
278,1755303,0.272048
278,1757148,0.144425
278,1757469,0.207033
279,1751299,0.095709
279,1755303,0.211905
279,1757148,0.284791
279,1770117,0.254238
280,1769445,0.205329
285,1757314,0.216362
285,1769133,0.284208
293,1749511,0.283568
295,1758206,0.247935
296,1757401,0.216212
297,1757401,0.280472
299,1747957,0.201963
299,1749375,0.25319
299,1750845,0.192797
299,1752326,0.265772
299,1764330,0.14474
299,1766184,0.063787
299,1769272,0.282631
300,1747553,0.172911
300,1747698,0.298783
300,1753162,0.29817
300,1775012,0.270014
300,1775013,0.078469
301,1747553,0.204037
301,1747698,0.217095
301,1747812,0.137945
302,1747553,0.168437
302,1747698,0.222795
302,1747812,0.179264
302,1775013,0.258057
303,1747553,0.168437
303,1747698,0.222795
303,1747812,0.179264
303,1775013,0.258057
304,1747553,0.168437
304,1747698,0.222795
304,1747812,0.179264
304,1775013,0.258057
305,1747553,0.204037
305,1747698,0.217095
305,1747812,0.137945
306,1747957,0.225088
306,1750845,0.078089
306,1752326,0.141494
306,1764330,0.22984
306,1766184,0.139018
306,1769272,0.139566
307,1747957,0.201963
307,1749375,0.25319
307,1750845,0.192797
307,1752326,0.265772
307,1764330,0.14474
307,1766184,0.063787
307,1769272,0.282631
308,1747957,0.164898
308,1764330,0.194698
309,1747957,0.167585
309,1764330,0.197608
310,1746884,0.192091
310,1775013,0.24685
311,1757401,0.241978
311,1758454,0.227605
312,1753159,0.059386
314,1749402,0.133614
314,1756188,0.083402
317,1747957,0.047919
317,1750845,0.15316
317,1764330,0.132704
317,1766184,0.267804
317,1769272,0.218289
318,1747957,0.059055
318,1750845,0.148894
318,1764330,0.143329
318,1766184,0.272323
318,1769272,0.210426
319,1747957,0.059055
319,1750845,0.148894
319,1764330,0.143329
319,1766184,0.272323
319,1769272,0.210426
320,1747957,0.043465
320,1750845,0.155058
320,1764330,0.128478
320,1766184,0.266105
320,1769272,0.221513
321,1747957,0.043465
321,1750845,0.155058
321,1764330,0.128478
321,1766184,0.266105
321,1769272,0.221513
323,1764980,0.206511
323,1767008,0.188838
324,1747499,0.152038
325,1764980,0.205711
325,1767008,0.205816
327,1754235,0.247085
327,1764980,0.155353
327,1767008,0.291209
328,1752873,0.229865
330,1760570,0.248934
330,1772870,0.110445
331,1756522,0.112646
332,1764380,0.149883
333,1757484,0.248953
335,1755082,0.16981
335,1764803,0.159162
336,1764380,0.208375
337,1754502,0.103407
338,1764159,0.249625
340,1755555,0.077813
341,1758089,0.297673
341,1758102,0.278966
342,1749006,0.25168
342,1754224,0.207667
342,1758540,0.134171
342,1759971,0.217881
343,1753947,0.160051
344,1752962,0.078314
345,1753730,0.195085
348,1749375,0.110715
348,1752602,0.275755
348,1766184,0.226045
349,1752102,0.239558
350,1767008,0.067488
351,1774813,0.148362
351,1774814,0.14847
353,1759340,0.296274
354,1756188,0.233779
362,1757484,0.233123
364,1764380,0.255986
365,1749006,0.228913
366,1750970,0.118973
367,1752962,0.242372
368,1752962,0.242372
369,1753730,0.095726
370,1765365,0.14727
371,1753730,0.145557
372,1753164,0.270717
374,1748978,0.155231
376,1747498,0.285402
376,1748155,0.136085
376,1748975,0.182747
376,1752625,0.19744
376,1758117,0.220086
376,1764857,0.11195
378,1752105,0.23571
380,1765368,0.124761
384,1753727,0.187693
385,1753727,0.223099
385,1758102,0.214236
386,1756318,0.217882
387,1758102,0.139335
388,1749872,0.171011
388,1753946,0.078438
388,1760057,0.025821
391,1749238,0.24418
391,1758539,0.289865
394,1754424,0.226971
396,1762898,0.18126
397,1762898,0.187935
398,1756018,0.217835
398,1761124,0.174659
399,1757484,0.224452
401,1764380,0.298791
408,1766327,0.009384
409,1752575,0.178779
411,1755690,0.160656
411,1766864,0.253635
412,1748881,0.250317
412,1754617,0.219028
412,1757520,0.158899
412,1765360,0.234586
421,1764986,0.173496
421,1766421,0.284483
422,1764980,0.166354
422,1767008,0.221144
423,1754079,0.179341
423,1767008,0.131478
427,1748978,0.046466
428,1764980,0.177406
428,1767008,0.276558
435,1747957,0.246076
435,1750845,0.153235
435,1752326,0.295218
435,1754079,0.208774
435,1769272,0.102399
436,1749375,0.047294
436,1752602,0.196586
436,1764330,0.275404
436,1766184,0.221775
437,1758454,0.194509
438,1750471,0.069204
438,1757538,0.139312
438,1770857,0.247358
439,1750845,0.186714
439,1752326,0.059632
439,1764858,0.23763
439,1766184,0.161689
439,1769272,0.209669
440,1750471,0.274327
440,1753502,0.223898
440,1757538,0.20177
441,1751527,0.16565
441,1757469,0.298131
441,1759916,0.162114
442,1750413,0.240004
442,1757461,0.266632
443,1753159,0.079228
446,1762359,0.298967
446,1774815,0.0367
447,1769133,0.161521
448,1774815,0.121506
449,1749582,0.137186
449,1758301,0.212715
450,1749582,0.137186
450,1758301,0.212715
451,1749582,0.134656
451,1752105,0.298099
451,1758301,0.208838
452,1749582,0.137186
452,1758301,0.212715
453,1749582,0.134656
453,1752105,0.298099
453,1758301,0.208838
454,1749582,0.137186
454,1758301,0.212715
455,1749582,0.134656
455,1752105,0.298099
455,1758301,0.208838
459,1749511,0.228858
460,1749511,0.229115
461,1749511,0.236502
462,1757314,0.156522
462,1769133,0.200473
464,1749511,0.28425
465,1749582,0.139088
465,1752105,0.228276
465,1758301,0.175132
466,1749582,0.134656
466,1752105,0.298099
466,1758301,0.208838
467,1749582,0.134656
467,1752105,0.298099
467,1758301,0.208838
468,1749582,0.134656
468,1752105,0.298099
468,1758301,0.208838
469,1749375,0.104722
469,1752602,0.252212
469,1766184,0.29433
469,1772706,0.283753
472,1752681,0.257694
472,1764858,0.18664
475,1756188,0.296098
477,1749402,0.214895
478,1749402,0.125678
478,1756188,0.105064
